Question,Réponse,Lien,Catégorie,Rating,Processed_Question
Où trouver les résultats des examens ?,Les résultats sont publiés sur le portail étudiant.,http://iset.example.com/resultats,Examens,0,où trouv résultat examen
Que faire si je rate un examen ?,Contactez le bureau académique pour les sessions de rattrapage.,http://iset.example.com/examens,Examens,0,fair si rat examen
Quand est l’examen de Python ?,L’examen de Python est prévu en décembre. Consultez le calendrier.,http://iset.example.com/examens,Examens,0,quand lexamen python
Comment demander une révision d’examen ?,Soumettez une demande au bureau académique dans les 7 jours.,http://iset.example.com/examens,Examens,0,comment demand révis dexamen
Comment demander un certificat de scolarité ?,Rendez-vous au bureau administratif avec votre carte d’étudiant.,http://iset.example.com/administration,Administration,0,comment demand certificat scolar
Où payer les frais d’inscription ?,Les frais sont payables en ligne via le portail administratif.,http://iset.example.com/administration,Administration,0,où pai frais dinscript
Comment obtenir une carte d’étudiant ?,La carte est délivrée au bureau administratif après l’inscription.,http://iset.example.com/administration,Administration,0,comment obten cart détudi
Quels documents fournir pour l’inscription ?,"Vous devez fournir une pièce d’identité, un certificat de bac, et une photo.",http://iset.example.com/inscription,Administration,0,quel docu fourn linscript
Comment changer mes informations personnelles ?,Mettez à jour vos informations via le portail étudiant.,http://iset.example.com/administration,Administration,0,comment chang inform personnel
Comment postuler pour une bourse ?,Soumettez votre dossier via le portail des bourses avant la date limite.,http://iset.example.com/bourses,Bourses,0,comment postul bours
Quels sont les critères pour une bourse ?,Les critères incluent le revenu familial et les résultats académiques.,http://iset.example.com/bourses,Bourses,0,quel criter bours
Quand est la date limite pour demander une bourse ?,La date limite est le 15 octobre. Vérifiez sur le portail.,http://iset.example.com/bourses,Bourses,0,quand dat limit demand bours
Comment savoir si ma demande de bourse est acceptée ?,Les résultats sont publiés sur le portail des bourses.,http://iset.example.com/bourses,Bourses,0,comment savoir si demand bours accept
Quels types de bourses sont disponibles ?,Il y a des bourses de mérite et des aides financières. Consultez le portail.,http://iset.example.com/bourses,Bourses,0,quel typ bours disponibl
Où trouver le règlement intérieur de l’ISET ?,"Le règlement est disponible sur le site, section Ressources.",http://iset.example.com/ressources,Général,0,où trouv regl intérieur liset
Comment accéder à la bibliothèque ?,La bibliothèque est ouverte aux étudiants avec une carte d’étudiant.,http://iset.example.com/bibliotheque,Général,0,comment acced bibliothequ
Y a-t-il un accès Wi-Fi à l’ISET ?,"Oui, connectez-vous avec vos identifiants étudiants. Voir la section IT.",http://iset.example.com/services-it,Général,0,atil acces wif liset
Quels sont les clubs étudiants à l’ISET ?,"Les clubs incluent Robotique, Culture, et Sports. Consultez la page des activités.",http://iset.example.com/activites,Général,0,quel club étudi liset
Quand a lieu la journée portes ouvertes ?,La journée portes ouvertes est prévue en mars. Vérifiez le calendrier.,http://iset.example.com/evenements,Général,0,quand a lieu journ port ouvert
Comment signaler un problème technique ?,Contactez le service informatique via le portail IT.,http://iset.example.com/services-it,Général,0,comment signal problem techniqu
Où trouver les offres de stage ?,Les offres de stage sont publiées sur le portail carrière.,http://iset.example.com/carriere,Général,0,où trouv offre stag
Comment participer aux compétitions académiques ?,Inscrivez-vous via le bureau des activités étudiantes.,http://iset.example.com/activites,Général,0,comment particip compétit academ
Quels sont les horaires de la bibliothèque ?,La bibliothèque est ouverte de 8h à 18h du lundi au vendredi.,http://iset.example.com/bibliotheque,Bibliothèque,0,quel horair bibliothequ
Comment emprunter un livre ?,Présentez votre carte d’étudiant à la bibliothèque.,http://iset.example.com/bibliotheque,Bibliothèque,0,comment emprunt livr
Y a-t-il des ressources en ligne à la bibliothèque ?,"Oui, accédez aux bases de données via le portail de la bibliothèque.",http://iset.example.com/bibliotheque,Bibliothèque,0,atil ressourc lign bibliothequ
Comment réserver un livre ?,Les réservations se font via le portail de la bibliothèque.,http://iset.example.com/bibliotheque,Bibliothèque,0,comment réserv livr
Quels sont les services informatiques de l’ISET ?,"Les services incluent Wi-Fi, comptes étudiants, et support technique.",http://iset.example.com/services-it,Services IT,0,quel servic informat liset
Comment obtenir un compte étudiant ?,Le compte est créé automatiquement après l’inscription.,http://iset.example.com/services-it,Services IT,0,comment obten compt étudi
Que faire si j’oublie mon mot de passe ?,Réinitialisez votre mot de passe via le portail IT.,http://iset.example.com/services-it,Services IT,0,fair si joubl mot pass
Comment accéder aux logiciels académiques ?,Les logiciels sont disponibles sur les ordinateurs du campus.,http://iset.example.com/services-it,Services IT,0,comment acced logiciel academ
Quels sont les événements à venir à l’ISET ?,Les événements sont listés sur le calendrier des événements.,http://iset.example.com/evenements,Événements,0,quel éven ven liset
Quand a lieu la cérémonie de remise des diplômes ?,La cérémonie est prévue en juin. Vérifiez le calendrier.,http://iset.example.com/evenements,Événements,0,quand a lieu cérémon remis diplôm
Comment s’inscrire à un atelier ?,Inscrivez-vous via le portail des activités.,http://iset.example.com/activites,Événements,0,comment sinscrir ateli
Y a-t-il des conférences à l’ISET ?,"Oui, les conférences sont annoncées sur le site.",http://iset.example.com/evenements,Événements,0,atil conférent liset
Comment rejoindre le club de robotique ?,Inscrivez-vous via le bureau des activités étudiantes.,http://iset.example.com/activites,Clubs,0,comment rejoindr club robot
Quelles sont les activités du club culturel ?,Le club organise des expositions et des spectacles. Voir le site.,http://iset.example.com/activites,Clubs,0,quel activ club culturel
Y a-t-il un club de sport ?,"Oui, le club de sport propose football, basketball, et plus.",http://iset.example.com/activites,Clubs,0,atil club sport
Comment organiser une activité étudiante ?,Soumettez une proposition au bureau des activités.,http://iset.example.com/activites,Clubs,0,comment organis activ étudi
Quelles sont les conditions pour un stage ?,Les stages doivent être validés par le département académique.,http://iset.example.com/carriere,Stages,0,quel condit stag
Comment rédiger un rapport de stage ?,Les consignes sont sur le portail carrière.,http://iset.example.com/carriere,Stages,0,comment rédig rapport stag
Où trouver des entreprises pour un stage ?,Consultez le portail carrière pour les partenariats.,http://iset.example.com/carriere,Stages,0,où trouv entrepris stag
Les stages sont-ils rémunérés ?,Cela dépend de l’entreprise. Vérifiez avec le portail carrière.,http://iset.example.com/carriere,Stages,0,stag sontil rémuner
Comment valider mon stage ?,Soumettez votre rapport et obtenez l’approbation du département.,http://iset.example.com/carriere,Stages,0,comment valid stag
Y a-t-il des cours de langue à l’ISET ?,"Oui, des cours d’anglais et d’autres langues sont proposés.",http://iset.example.com/programmes,Cours,0,atil cour langu liset
Quels sont les cours optionnels ?,Les cours optionnels sont listés dans le programme de votre branche.,http://iset.example.com/programmes,Cours,0,quel cour optionnel
Comment s’inscrire à un cours optionnel ?,Inscrivez-vous via le portail étudiant.,http://iset.example.com/programmes,Cours,0,comment sinscrir cour optionnel
Quels sont les crédits pour le cours de Python ?,Le cours de Python vaut 6 crédits. Consultez le programme.,http://iset.example.com/programmes,Cours,0,quel crédit cour python
Y a-t-il des cours du soir ?,Certains cours sont proposés en soirée. Vérifiez le portail.,http://iset.example.com/horaires,Horaires,0,atil cour soir
Comment obtenir un relevé de notes ?,Le relevé est disponible sur le portail étudiant.,http://iset.example.com/administration,Administration,0,comment obten relev not
Quand est la date limite d’inscription ?,La date limite est le 30 août. Consultez le site.,http://iset.example.com/inscription,Administration,0,quand dat limit dinscript
Comment demander un congé académique ?,Soumettez une demande au bureau académique.,http://iset.example.com/administration,Administration,0,comment demand cong academ
Y a-t-il des frais pour les certificats ?,Les certificats sont gratuits pour les étudiants inscrits.,http://iset.example.com/administration,Administration,0,atil frais certificat
Comment vérifier mon statut d’inscription ?,Vérifiez votre statut sur le portail étudiant.,http://iset.example.com/administration,Administration,0,comment vérifi statut dinscript
Quels sont les horaires du bureau administratif ?,Le bureau est ouvert de 9h à 16h du lundi au vendredi.,http://iset.example.com/administration,Administration,0,quel horair bureau administr
Comment demander une attestation de présence ?,Rendez-vous au bureau administratif avec votre carte d’étudiant.,http://iset.example.com/administration,Administration,0,comment demand attest présenc
Y a-t-il des bourses pour les étudiants internationaux ?,"Oui, des bourses spécifiques sont disponibles. Consultez le portail.",http://iset.example.com/bourses,Bourses,0,atil bours étudi international
Comment renouveler ma bourse ?,Soumettez une nouvelle demande chaque année via le portail.,http://iset.example.com/bourses,Bourses,0,comment renouvel bours
Quels documents pour une demande de bourse ?,Fournissez un certificat de revenu et vos relevés de notes.,http://iset.example.com/bourses,Bourses,0,quel docu demand bours
Y a-t-il des aides pour le logement ?,Des aides sont disponibles via le bureau des bourses.,http://iset.example.com/bourses,Bourses,0,atil aid log
Comment trouver un logement près de l’ISET ?,Consultez la section Logement sur le site.,http://iset.example.com/ressources,Général,0,comment trouv log pres liset
Y a-t-il une cafétéria à l’ISET ?,"Oui, la cafétéria est ouverte de 7h à 17h.",http://iset.example.com/ressources,Général,0,atil cafétéri liset
Quels sont les services de santé à l’ISET ?,Un centre médical est disponible sur le campus.,http://iset.example.com/ressources,Général,0,quel servic sant liset
Comment signaler un problème de sécurité ?,Contactez la sécurité via le portail ou appelez le numéro d’urgence.,http://iset.example.com/ressources,Général,0,comment signal problem sécur
Y a-t-il un parking pour les étudiants ?,"Oui, un parking est disponible avec un permis étudiant.",http://iset.example.com/ressources,Général,0,atil parking étudi
Comment obtenir un permis de parking ?,Demandez-le au bureau administratif.,http://iset.example.com/administration,Administration,0,comment obten perm parking
Quels sont les numéros d’urgence à l’ISET ?,"Les numéros sont affichés sur le site, section Sécurité.",http://iset.example.com/ressources,Général,0,quel numéros durgenc liset
Y a-t-il des salles informatiques ?,"Oui, les salles informatiques sont accessibles avec un compte étudiant.",http://iset.example.com/services-it,Services IT,0,atil sall informat
Comment réserver une salle informatique ?,Les réservations se font via le portail IT.,http://iset.example.com/services-it,Services IT,0,comment réserv sall informat
Y a-t-il des imprimantes sur le campus ?,Des imprimantes sont disponibles dans les salles informatiques.,http://iset.example.com/services-it,Services IT,0,atil imprim campus
Comment payer pour l’impression ?,Utilisez votre compte étudiant pour les impressions.,http://iset.example.com/services-it,Services IT,0,comment pai limpress
Quels sont les horaires des salles informatiques ?,Les salles sont ouvertes de 8h à 20h.,http://iset.example.com/services-it,Services IT,0,quel horair sall informat
Y a-t-il des cours en ligne ?,Certains cours sont disponibles en ligne via le portail étudiant.,http://iset.example.com/programmes,Cours,0,atil cour lign
Comment accéder aux cours en ligne ?,Connectez-vous au portail étudiant avec vos identifiants.,http://iset.example.com/programmes,Cours,0,comment acced cour lign
Quels sont les prérequis pour les cours en ligne ?,Un compte étudiant et une connexion Internet sont nécessaires.,http://iset.example.com/programmes,Cours,0,quel prérequ cour lign
Y a-t-il des tutoriels pour les logiciels ?,Des tutoriels sont disponibles sur le portail IT.,http://iset.example.com/services-it,Services IT,0,atil tutoriel logiciel
Comment soumettre un projet ?,Soumettez vos projets via le portail étudiant.,http://iset.example.com/programmes,Cours,0,comment soumettr projet
Quels sont les délais pour soumettre un projet ?,Les délais sont indiqués dans le programme du cours.,http://iset.example.com/programmes,Cours,0,quel del soumettr projet
Comment obtenir une extension pour un projet ?,Contactez votre professeur pour demander une extension.,http://iset.example.com/programmes,Cours,0,comment obten extens projet
Y a-t-il des sessions de rattrapage ?,"Oui, les sessions de rattrapage sont organisées après les examens.",http://iset.example.com/examens,Examens,0,atil session rattrapag
Comment s’inscrire à une session de rattrapage ?,Inscrivez-vous via le portail étudiant.,http://iset.example.com/examens,Examens,0,comment sinscrir session rattrapag
Quand sont publiés les résultats des rattrapages ?,Les résultats sont publiés une semaine après les examens.,http://iset.example.com/resultats,Examens,0,quand publi résultat rattrapag
Comment contester une note ?,Soumettez une demande au bureau académique dans les 7 jours.,http://iset.example.com/examens,Examens,0,comment contest not
Y a-t-il des examens en ligne ?,Certains examens sont en ligne. Vérifiez le calendrier.,http://iset.example.com/examens,Examens,0,atil examen lign
Quels sont les règles pour les examens ?,Les règles sont disponibles sur le portail académique.,http://iset.example.com/examens,Examens,0,quel regl examen
Comment obtenir un diplôme ?,Le diplôme est délivré après validation de tous les crédits.,http://iset.example.com/administration,Administration,0,comment obten diplôm
Quels sont les frais pour un duplicata de diplôme ?,Les frais sont de 50 DT. Contactez l’administration.,http://iset.example.com/administration,Administration,0,quel frais duplicat diplôm
Comment transférer mes crédits à une autre université ?,Soumettez une demande au bureau académique.,http://iset.example.com/administration,Administration,0,comment transfer crédit autr univers
Y a-t-il des programmes d’échange ?,"Oui, des programmes d’échange sont disponibles. Consultez le site.",http://iset.example.com/programmes,Cours,0,atil programm déchang
Comment postuler pour un programme d’échange ?,Soumettez votre candidature via le portail académique.,http://iset.example.com/programmes,Cours,0,comment postul programm déchang
Quels sont les partenaires internationaux de l’ISET ?,"Les partenaires sont listés sur le site, section International.",http://iset.example.com/international,Cours,0,quel partenair international liset
Y a-t-il des cours de préparation aux certifications ?,"Oui, des cours pour certifications comme Cisco sont proposés.",http://iset.example.com/programmes,Cours,0,atil cour prépar certif
Comment obtenir une certification professionnelle ?,Inscrivez-vous aux cours spécifiques via le portail.,http://iset.example.com/programmes,Cours,0,comment obten certif professionnel
Quels sont les horaires des cours de langue ?,Les cours de langue ont lieu le soir. Vérifiez le portail.,http://iset.example.com/horaires,Horaires,0,quel horair cour langu
Comment s’inscrire à un cours de langue ?,Inscrivez-vous via le portail étudiant.,http://iset.example.com/programmes,Cours,0,comment sinscrir cour langu
Y a-t-il des frais pour les cours de langue ?,Certains cours sont gratuits pour les étudiants inscrits.,http://iset.example.com/programmes,Cours,0,atil frais cour langu
Comment obtenir un certificat de langue ?,Terminez le cours et passez l’examen final.,http://iset.example.com/programmes,Cours,0,comment obten certificat langu
Quels sont les équipements sportifs disponibles ?,Le campus dispose d’un gymnase et de terrains de sport.,http://iset.example.com/activites,Clubs,0,quel équip sportif disponibl
Comment rejoindre l’équipe de football ?,Inscrivez-vous via le club de sport.,http://iset.example.com/activites,Clubs,0,comment rejoindr léquip football
Y a-t-il des compétitions sportives ?,"Oui, des tournois sont organisés chaque semestre.",http://iset.example.com/activites,Clubs,0,atil compétit sportiv
Comment obtenir un financement pour un club ?,Soumettez une demande au bureau des activités.,http://iset.example.com/activites,Clubs,0,comment obten financ club
Quels sont les horaires du gymnase ?,Le gymnase est ouvert de 10h à 20h.,http://iset.example.com/activites,Clubs,0,quel horair gymnas
Y a-t-il des activités culturelles ?,"Oui, des expositions et spectacles sont organisés.",http://iset.example.com/activites,Clubs,0,atil activ culturel
Comment participer à une exposition culturelle ?,Inscrivez-vous via le club culturel.,http://iset.example.com/activites,Clubs,0,comment particip exposit culturel
Quels sont les thèmes des clubs culturels ?,"Les thèmes incluent art, musique, et littérature.",http://iset.example.com/activites,Clubs,0,quel them club culturel
Y a-t-il des ateliers de programmation ?,"Oui, des ateliers sont organisés par le club informatique.",http://iset.example.com/activites,Clubs,0,atil ateli programm
Comment s’inscrire à un hackathon ?,Inscrivez-vous via le portail des activités.,http://iset.example.com/activites,Clubs,0,comment sinscrir hackathon
Quels sont les projets du club robotique ?,Le club travaille sur des robots autonomes et des compétitions.,http://iset.example.com/activites,Clubs,0,quel projet club robot
Y a-t-il des bourses pour les compétitions ?,Des bourses sont disponibles pour les compétitions nationales.,http://iset.example.com/bourses,Bourses,0,atil bours compétit
Comment obtenir un financement pour un projet ?,Soumettez une proposition au bureau académique.,http://iset.example.com/ressources,Général,0,comment obten financ projet
Quels sont les services de conseil académique ?,Des conseillers sont disponibles au bureau académique.,http://iset.example.com/ressources,Général,0,quel servic conseil academ
Comment planifier mon parcours académique ?,Rencontrez un conseiller via le portail étudiant.,http://iset.example.com/ressources,Général,0,comment planifi parcour academ
Y a-t-il des sessions d’orientation ?,"Oui, des sessions sont organisées en début de semestre.",http://iset.example.com/ressources,Général,0,atil session dorient
Comment améliorer mes compétences en programmation ?,Inscrivez-vous aux ateliers du club informatique.,http://iset.example.com/activites,Clubs,0,comment amélior compétent programm
Quels sont les outils de collaboration en ligne ?,L’ISET utilise des plateformes comme Moodle et Teams.,http://iset.example.com/services-it,Services IT,0,quel outil collabor lign
Comment accéder à Moodle ?,Connectez-vous avec vos identifiants étudiants.,http://iset.example.com/services-it,Services IT,0,comment acced moodl
Quels sont les cours sur Moodle ?,Tous les cours principaux sont sur Moodle.,http://iset.example.com/programmes,Cours,0,quel cour moodl
Y a-t-il des formations sur les outils IT ?,"Oui, des formations sont proposées par le service IT.",http://iset.example.com/services-it,Services IT,0,atil format outil it
Comment signaler un bug sur le portail étudiant ?,Contactez le support IT via le portail.,http://iset.example.com/services-it,Services IT,0,comment signal bug portail étudi
Quels sont les horaires du centre médical ?,Le centre médical est ouvert de 9h à 16h.,http://iset.example.com/ressources,Général,0,quel horair centr médical
Comment prendre rendez-vous au centre médical ?,Appelez le centre ou passez directement.,http://iset.example.com/ressources,Général,0,comment prendr rendezvous centr médical
Y a-t-il des services de conseil psychologique ?,"Oui, des conseillers sont disponibles sur rendez-vous.",http://iset.example.com/ressources,Général,0,atil servic conseil psycholog
Comment obtenir une aide financière d’urgence ?,Contactez le bureau des bourses pour une aide d’urgence.,http://iset.example.com/bourses,Bourses,0,comment obten aid financi durgenc
Quels sont les droits des étudiants ?,Les droits sont détaillés dans le règlement intérieur.,http://iset.example.com/ressources,Général,0,quel droit étudi
Comment signaler une discrimination ?,Contactez le bureau des affaires étudiantes.,http://iset.example.com/ressources,Général,0,comment signal discrimin
Y a-t-il des programmes de mentorat ?,"Oui, des programmes de mentorat sont disponibles.",http://iset.example.com/ressources,Général,0,atil programm mentorat
Comment devenir mentor ?,Inscrivez-vous via le bureau académique.,http://iset.example.com/ressources,Général,0,comment deven mentor
Quels sont les avantages d’être mentor ?,Les mentors reçoivent des crédits et des certificats.,http://iset.example.com/ressources,Général,0,quel avantag dêtr mentor
Y a-t-il des ateliers de rédaction de CV ?,"Oui, des ateliers sont organisés par le portail carrière.",http://iset.example.com/carriere,Stages,0,atil ateli rédact cv
Comment préparer un entretien d’embauche ?,Consultez les ressources sur le portail carrière.,http://iset.example.com/carriere,Stages,0,comment prépar entretien dembauch
Quels sont les débouchés pour Informatique ?,"Les débouchés incluent développeur, administrateur réseau, et data scientist.",http://iset.example.com/carriere,Branches,0,quel débouch informat
Quels sont les débouchés pour Génie Civil ?,Les débouchés incluent ingénieur structure et chef de projet.,http://iset.example.com/carriere,Branches,0,quel débouch gen civil
Y a-t-il des foires de l’emploi ?,"Oui, une foire est organisée chaque année.",http://iset.example.com/evenements,Événements,0,atil foir lemploi
Comment contacter les anciens étudiants ?,Rejoignez le réseau des anciens sur le portail carrière.,http://iset.example.com/carriere,Général,0,comment contact ancien étudi
Quels sont les projets de recherche à l’ISET ?,"Les projets sont listés sur le site, section Recherche.",http://iset.example.com/recherche,Général,0,quel projet recherch liset
Comment participer à un projet de recherche ?,Contactez le département de recherche via le site.,http://iset.example.com/recherche,Général,0,comment particip projet recherch
Y a-t-il des publications de l’ISET ?,"Oui, les publications sont disponibles sur le site.",http://iset.example.com/recherche,Général,0,atil publiqu liset
Comment obtenir un financement pour la recherche ?,Soumettez une demande au département de recherche.,http://iset.example.com/recherche,Général,0,comment obten financ recherch
hi,salut,,Général,0,hi
salut,salut,,Général,0,salut
When does the semester start?,This is a test response.,,General,0,when do the semest start
What are the schedules for computer science courses?,This is a test response.,,General,0,what are the schedul for comput scienc cours
When does the semester start?,This is a test response.,,General,0,when do the semest start
When does the semester start?,This is a test response.,,General,0,when do the semest start
How to enroll in a course?,This is a test response.,,General,0,how to enroll in a cours
What are the schedules for computer science courses?,This is a test response.,,General,0,what are the schedul for comput scienc cours
When does the semester start?,This is a test response.,,General,0,when do the semest start
How to enroll in a course?,This is a test response.,,General,0,how to enroll in a cours
When does the semester start?,This is a test response.,,General,0,when do the semest start
What is the weather today?,This is a test response.,,General,0,what is the weath today
What is the weather today?,This is a test response.,,General,0,what is the weath today
When does the semester start?,This is a test response.,,General,0,when do the semest start
What is the weather today?,This is a test response.,,General,0,what is the weath today
What is the weather today?,This is a test response.,,General,0,what is the weath today
